,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b2914,U00096.3,3058666,3059325,-,rpiA,,ribose-5-phosphate isomerase A,AAC75951.1,199310.c3495,5.9e-149,421.0,"COG0120@1|root,COG0120@2|Bacteria,1MVGR@1224|Proteobacteria,1RNF8@1236|Gammaproteobacteria,3XMIS@561|Escherichia",2|Bacteria,G,Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate,rpiA,"GO:0003674,GO:0003824,GO:0004751,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006014,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009117,GO:0009987,GO:0016853,GO:0016860,GO:0016861,GO:0019321,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0042802,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564",5.3.1.6,ko:K01807,"ko00030,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007,M00165,M00167,M00580",R01056,RC00434,"ko00000,ko00001,ko00002,ko01000",-,-,-,Rib_5-P_isom_A
b2916,U00096.3,3059753,3060646,+,argP,,DNA-binding transcriptional dual regulator ArgP,AAC75953.1,199310.c3497,5.5400000000000004e-213,589.0,"COG0583@1|root,COG0583@2|Bacteria,1MWUP@1224|Proteobacteria,1RNIC@1236|Gammaproteobacteria,3XMCC@561|Escherichia",2|Bacteria,K,Controls the transcription of genes involved in arginine and lysine metabolism,argP,"GO:0003674,GO:0003676,GO:0003677,GO:0003681,GO:0003700,GO:0005488,GO:0006275,GO:0006355,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0030174,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032297,GO:0043565,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0090329,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000104,GO:2000112,GO:2000113,GO:2001141",-,ko:K05596,-,-,-,-,"ko00000,ko03000,ko03036",-,-,-,"HTH_1,LysR_substrate"
b2917,U00096.3,3060850,3062994,+,scpA,,methylmalonyl-CoA mutase,AAC75954.1,316407.85675728,0.0,1385.0,"COG1884@1|root,COG2185@1|root,COG1884@2|Bacteria,COG2185@2|Bacteria,1MUXX@1224|Proteobacteria,1RSHX@1236|Gammaproteobacteria,3XMZG@561|Escherichia",2|Bacteria,I,Methylmalonyl-CoA mutase,bhbA,"GO:0003674,GO:0003824,GO:0004494,GO:0005488,GO:0008144,GO:0016853,GO:0016866,GO:0019842,GO:0031419,GO:0036094,GO:0046906,GO:0048037,GO:0097159,GO:1901363",5.4.99.2,"ko:K01847,ko:K01848","ko00280,ko00630,ko00640,ko00720,ko01100,ko01120,ko01200,map00280,map00630,map00640,map00720,map01100,map01120,map01200","M00373,M00375,M00376,M00741",R00833,RC00395,"ko00000,ko00001,ko00002,ko01000",-,-,"iECO111_1330.ECO111_3653,iECO26_1355.ECO26_4004","B12-binding,MM_CoA_mutase"
b2918,U00096.3,3062987,3063982,+,argK,,methylmalonyl-CoA mutase-interacting GTPase YgfD,AAC75955.1,316407.85675729,2.7099999999999997e-234,645.0,"COG1703@1|root,COG1703@2|Bacteria,1MVI0@1224|Proteobacteria,1RP15@1236|Gammaproteobacteria,3XP3F@561|Escherichia",2|Bacteria,E,Binds and hydrolyzes GTP. Likely functions as a G-protein chaperone that assists AdoCbl cofactor delivery to the methylmalonyl-CoA mutase (MCM) ScpA and reactivation of the enzyme during catalysis,argK,"GO:0003674,GO:0003824,GO:0003924,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111",-,ko:K07588,-,-,-,-,"ko00000,ko01000",-,-,-,ArgK
b2919,U00096.3,3063993,3064778,+,scpB,,methylmalonyl-CoA decarboxylase,AAC75956.2,511145.b2919,1.62e-184,513.0,"COG1024@1|root,COG1024@2|Bacteria,1R3SQ@1224|Proteobacteria,1RR23@1236|Gammaproteobacteria,3XP4S@561|Escherichia",2|Bacteria,I,Catalyzes the decarboxylation of methylmalonyl-CoA to propionyl-CoA. Could be part of a pathway that converts succinate to propionate,scpB,"GO:0003674,GO:0003824,GO:0004300,GO:0004492,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0016835,GO:0016836,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:1901575",4.1.1.41,ko:K11264,"ko00640,map00640",-,R00923,RC00097,"ko00000,ko00001,ko01000",-,-,iSSON_1240.SSON_3070,ECH_1
b2920,U00096.3,3064802,3066280,+,scpC,,propionyl-CoA:succinate CoA transferase,AAC75957.1,316407.85675731,0.0,974.0,"COG0427@1|root,COG0427@2|Bacteria,1MUGE@1224|Proteobacteria,1RP19@1236|Gammaproteobacteria,3XMWJ@561|Escherichia",2|Bacteria,C,Catalyzes the transfer of coenzyme A from propionyl-CoA to succinate. Could be part of a pathway that converts succinate to propionate,cat1,"GO:0003674,GO:0003824,GO:0003986,GO:0006082,GO:0006083,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0008410,GO:0008775,GO:0009987,GO:0016289,GO:0016740,GO:0016782,GO:0016787,GO:0016788,GO:0016790,GO:0016999,GO:0017144,GO:0019541,GO:0019679,GO:0019752,GO:0032787,GO:0043436,GO:0043821,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0046459,GO:0071704","2.8.3.18,3.1.2.1","ko:K01067,ko:K18118,ko:K22214","ko00020,ko00620,ko00640,ko00650,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00640,map00650,map01100,map01110,map01120,map01130,map01200","M00009,M00011","R00227,R10343,R11773","RC00004,RC00012,RC00014","ko00000,ko00001,ko00002,ko01000",-,-,"iAF987.Gmet_1125,iECIAI1_1343.ECIAI1_3040,iECSE_1348.ECSE_3182,iECW_1372.ECW_m3175,iEKO11_1354.EKO11_0812,iWFL_1372.ECW_m3175","AcetylCoA_hyd_C,AcetylCoA_hydro"
b2921,U00096.3,3066277,3067173,-,srsR,,DNA-binding transcriptional activator YgfI,AAC75958.2,316407.85675732,1.9400000000000002e-215,594.0,"COG0583@1|root,COG0583@2|Bacteria,1R44I@1224|Proteobacteria,1S19F@1236|Gammaproteobacteria,3XN51@561|Escherichia",2|Bacteria,K,DNA-binding transcription factor activity,ygfI,"GO:0003674,GO:0003700,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate"
b2922,U00096.3,3067340,3068080,-,yggE,,DUF541 domain-containing protein YggE,AAC75959.1,316407.85675733,3.36e-165,463.0,"COG2968@1|root,COG2968@2|Bacteria,1RH7T@1224|Proteobacteria,1RP7T@1236|Gammaproteobacteria,3XNCG@561|Escherichia",2|Bacteria,S,cellular response to heat,yggE,"GO:0000302,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006950,GO:0006974,GO:0006979,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009897,GO:0009986,GO:0009987,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0031233,GO:0033554,GO:0034599,GO:0034605,GO:0034614,GO:0042221,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051716,GO:0070887,GO:0071575,GO:0071944,GO:0098552,GO:1901700,GO:1901701",-,ko:K09807,-,-,-,-,ko00000,-,-,-,SIMPL
b2923,U00096.3,3068173,3068808,-,argO,,L-arginine exporter,AAC75960.1,316407.85675734,1.15e-150,423.0,"COG1279@1|root,COG1279@2|Bacteria,1RD6B@1224|Proteobacteria,1RR03@1236|Gammaproteobacteria,3XN2X@561|Escherichia",2|Bacteria,S,Involved in the export of arginine. Important to control the intracellular level of arginine and the correct balance between arginine and lysine,argO,"GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015174,GO:0015181,GO:0015318,GO:0015711,GO:0015802,GO:0015807,GO:0015809,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042221,GO:0042493,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:1902023,GO:1903825,GO:1903826,GO:1905039,GO:1990822",-,ko:K06895,-,-,-,-,"ko00000,ko02000",2.A.75.1,-,iPC815.YPO0918,LysE
b2924,U00096.3,3068947,3069807,-,mscS,,small conductance mechanosensitive channel MscS,AAC75961.1,316407.85675735,1.8e-173,487.0,"COG0668@1|root,COG0668@2|Bacteria,1N596@1224|Proteobacteria,1RQZP@1236|Gammaproteobacteria,3XMPN@561|Escherichia",2|Bacteria,M,"Mechanosensitive channel that participates in the regulation of osmotic pressure changes within the cell, opening in response to stretch forces in the membrane lipid bilayer, without the need for other proteins. Contributes to normal resistance to hypoosmotic shock. Forms an ion channel of 1.0 nanosiemens conductance with a slight preference for anions. The channel is sensitive to voltage",mscS,"GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006884,GO:0008150,GO:0008361,GO:0008381,GO:0009987,GO:0009992,GO:0015267,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022607,GO:0022803,GO:0022836,GO:0022857,GO:0030104,GO:0031224,GO:0031226,GO:0032535,GO:0034220,GO:0042592,GO:0042802,GO:0043933,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0048878,GO:0051179,GO:0051234,GO:0051259,GO:0051260,GO:0055082,GO:0055085,GO:0065003,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066",-,ko:K03442,-,-,-,-,"ko00000,ko02000",1.A.23.2,-,-,"MS_channel,TM_helix"
b2925,U00096.3,3070165,3071244,-,fbaA,,fructose-bisphosphate aldolase class II,AAC75962.1,316407.85675736,1.3e-262,719.0,"COG0191@1|root,COG0191@2|Bacteria,1MURX@1224|Proteobacteria,1RQUC@1236|Gammaproteobacteria,3XMVJ@561|Escherichia",2|Bacteria,F,"Catalyzes the aldol condensation of dihydroxyacetone phosphate (DHAP or glycerone-phosphate) with glyceraldehyde 3- phosphate (G3P) to form fructose 1,6-bisphosphate (FBP) in gluconeogenesis and the reverse reaction in glycolysis",fbaA,"GO:0003674,GO:0003824,GO:0004332,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016830,GO:0016832,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0019899,GO:0030312,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035375,GO:0042802,GO:0042866,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046914,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",4.1.2.13,ko:K01624,"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00003,M00165,M00167,M00344,M00345","R01068,R01070,R01829,R02568","RC00438,RC00439,RC00603,RC00604","ko00000,ko00001,ko00002,ko01000",-,-,iZ_1308.Z4263,F_bP_aldolase
b2926,U00096.3,3071459,3072622,-,pgk,,phosphoglycerate kinase,AAC75963.1,199310.c3504,1.23e-268,737.0,"COG0126@1|root,COG0126@2|Bacteria,1MUNU@1224|Proteobacteria,1RMUQ@1236|Gammaproteobacteria,3XN0J@561|Escherichia",2|Bacteria,F,Belongs to the phosphoglycerate kinase family,pgk,"GO:0003674,GO:0003824,GO:0004618,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576","2.7.2.3,5.3.1.1","ko:K00927,ko:K01803","ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00002,M00003,M00165,M00166,M00308,M00552","R01015,R01512","RC00002,RC00043,RC00423","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,iSbBS512_1146.SbBS512_E3351,PGK
b2927,U00096.3,3072672,3073691,-,epd,,D-erythrose-4-phosphate dehydrogenase,AAC75964.1,199310.c3505,4.5599999999999996e-246,676.0,"COG0057@1|root,COG0057@2|Bacteria,1MU93@1224|Proteobacteria,1RMBM@1236|Gammaproteobacteria,3XN8W@561|Escherichia",2|Bacteria,H,Catalyzes the NAD-dependent conversion of D-erythrose 4- phosphate to 4-phosphoerythronate,epd,"GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006081,GO:0006725,GO:0006732,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008614,GO:0008615,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019318,GO:0019438,GO:0019637,GO:0034641,GO:0036094,GO:0042364,GO:0042816,GO:0042819,GO:0042822,GO:0042823,GO:0043891,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046184,GO:0046483,GO:0048001,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0051287,GO:0055114,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617","1.2.1.12,1.2.1.72","ko:K00134,ko:K03472","ko00010,ko00710,ko00750,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map00750,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010","M00001,M00002,M00003,M00124,M00165,M00166,M00308,M00552","R01061,R01825","RC00149,RC00242","ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",-,-,"iAPECO1_1312.APECO1_847,iIT341.HP0921,iIT341.HP1346,iJR904.b1416,iJR904.b1417,iUTI89_1310.UTI89_C1975,iYL1228.KPN_03356,ic_1306.c2184","Gp_dh_C,Gp_dh_N"
b2928,U00096.3,3073976,3074689,-,yggC,,P-loop NTPase domain-containing protein YggC,AAC75965.1,316407.85675739,2.15e-177,493.0,"COG1072@1|root,COG1072@2|Bacteria,1RA07@1224|Proteobacteria,1SENN@1236|Gammaproteobacteria,3XQ6S@561|Escherichia",2|Bacteria,F,kinase activity,yggC,-,-,ko:K02173,-,-,-,-,ko00000,-,-,-,"AAA_18,ArgK,PRK"
b2929,U00096.3,3074686,3075195,-,fumE,,fumarase E,AAC75966.1,316407.85675740,2.34e-118,338.0,"COG3722@1|root,COG3722@2|Bacteria,1R8G8@1224|Proteobacteria,1RZD8@1236|Gammaproteobacteria,3XMB3@561|Escherichia",2|Bacteria,K,"In vitro catalyzes the addition of water to fumarate, forming malate. Cannot catalyze the reverse reaction. Cannot use the cis-isomer maleate as substrate",yggD,"GO:0003674,GO:0003824,GO:0004333,GO:0016829,GO:0016835,GO:0016836",-,-,-,-,-,-,-,-,-,-,MtlR
b2930,U00096.3,3075217,3076182,-,yggF,,fructose 1%2C6-bisphosphatase YggF,AAC75967.1,316407.85675741,9.79e-232,637.0,"COG1494@1|root,COG1494@2|Bacteria,1R5BK@1224|Proteobacteria,1S16G@1236|Gammaproteobacteria,3XPBC@561|Escherichia",2|Bacteria,G,"Catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate. Also displays a low activity toward glucose 1,6-bisphosphate, and no activity against ribulose 1,5- bisphosphate, fructose 2,6-bisphosphate, or fructose 1-phosphate",glpX,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006094,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0019318,GO:0019319,GO:0019637,GO:0030145,GO:0030388,GO:0042132,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046364,GO:0046872,GO:0046914,GO:0050308,GO:0071704,GO:1901135,GO:1901576","2.2.1.1,3.1.3.11,3.1.3.37","ko:K00615,ko:K02446,ko:K11532","ko00010,ko00030,ko00051,ko00680,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230","M00003,M00004,M00007,M00165,M00167","R00762,R01067,R01641,R01830,R01845,R04780,R06590","RC00017,RC00032,RC00226,RC00571,RC01560","ko00000,ko00001,ko00002,ko01000",-,-,"iSF_1195.SF2920,iUMNK88_1353.UMNK88_3626,iUMNK88_1353.UMNK88_4762",FBPase_glpX
b4465,U00096.3,3076179,3077456,-,yggP,,putative zinc-binding dehydrogenase YggP,AAT48154.1,316407.85675742,4.3e-315,857.0,"COG1063@1|root,COG1063@2|Bacteria,1QA80@1224|Proteobacteria,1RQ2Z@1236|Gammaproteobacteria,3XN34@561|Escherichia",2|Bacteria,E,oxidoreductase activity,yggP,-,-,ko:K19956,"ko00051,map00051",-,R03234,RC00089,"ko00000,ko00001,ko01000",-,-,-,"ADH_N,ADH_zinc_N"
b2933,U00096.3,3077471,3078859,-,cmtA,,mannitol-specific PTS enzyme IICB component CmtA,AAC75970.1,316407.85675743,0.0,895.0,"COG2213@1|root,COG2213@2|Bacteria,1Q9RR@1224|Proteobacteria,1RN2G@1236|Gammaproteobacteria,3XMGV@561|Escherichia",2|Bacteria,G,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II CmtAB PTS system is involved in D-mannitol transport",cmtA,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0015144,GO:0016020,GO:0016740,GO:0016772,GO:0016773,GO:0022804,GO:0022857,GO:0034219,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090563",2.7.1.197,"ko:K02798,ko:K02799,ko:K02800","ko00051,ko02060,map00051,map02060",M00274,R02704,"RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.2.1.12,4.A.2.1.2,4.A.2.1.24,4.A.2.1.5",-,-,"PTS_EIIA_2,PTS_EIIC,PTS_IIB"
